platform,title,url,query,page,date_scraped,extraction_method,estimated_salary_boost,demand_level,roi_score,score_breakdown,skill_category,demand_signal,trend_count,trend_count_norm,course_text,content_similarity,roi_norm,salary_norm,query_len_norm,knn_personalization,svd_personalization,personalization_score,support_skill_alignment,margin_pressure,demand_integration_score,demand_level_clean,demand_level_bonus,base_hybrid_score,hybrid_final_score,confidence_level,impact_band,recommendation_rank,recommendation_reason
Udemy,The Complete Machine Learning Course with Python,https://www.udemy.com/course/machine-learning-course-with-python/,machine learning,2,2026-02-26T08:55:12.118608,fallback_html_parse,25000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,0.9192930780559646,14.0,1.0,the complete machine learning course with python machine learning python,0.31361506577584525,0.97,0.16666666666666666,0.0,0.9746767890914481,0.9604667611630897,0.9689927779201046,1.0,0.5980000000000001,0.9862181192306089,very_high,0.06,0.8113283026547005,0.9113283026547006,HIGH,STRONG,11,strong market demand; strong personalization fit; high ROI potential
Udemy,"Python - Complete Python, Django, Data Science and ML Guide",https://www.udemy.com/course/python-complete-guide/,data science,2,2026-02-26T08:56:38.233771,fallback_html_parse,25000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,0.9192930780559646,14.0,1.0,python - complete python django data science and ml guide data science python,0.3076473369512892,0.97,0.16666666666666666,0.0,0.9744424938631305,0.9694270661084756,0.9724363227612687,1.0,0.5980000000000001,0.9861065834593981,very_high,0.06,0.8106582191389287,0.9106582191389287,HIGH,STRONG,12,strong market demand; strong personalization fit; high ROI potential
Udemy,Machine Learning & Data Science: The Complete Visual Guide,https://www.udemy.com/course/visual-guide-to-machine-learning/,machine learning,2,2026-02-26T08:55:12.118514,fallback_html_parse,35000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",machine-learning,0.6628982234498013,8.0,0.5384615384615384,machine learning data science the complete visual guide machine learning machine-learning,0.4889341131381457,0.97,0.7222222222222222,0.0,0.9679128061730496,0.9620297129954605,0.965559568902014,1.0,0.5980000000000001,0.8502552349703197,very_high,0.06,0.8067127527496518,0.9067127527496519,HIGH,STRONG,13,strong market demand; strong personalization fit; high ROI potential
Udemy,Data Science & AI Masters 2026 - From Python To Gen AI,https://www.udemy.com/course/data-science-ai-masters-from-python-to-gen-ai/,data science,1,2026-02-26T08:55:59.718772,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 50.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,0.9192930780559646,14.0,1.0,data science ai masters 2026 - from python to gen ai data science python,0.26560422999588484,1.0,0.16666666666666666,0.0,0.9734963829119375,0.9657125576873747,0.9703828528221125,1.0,0.5980000000000001,0.9881971689908989,very_high,0.06,0.804865779851314,0.904865779851314,HIGH,STRONG,14,strong market demand; strong personalization fit; high ROI potential
Udemy,Machine Learning for Absolute Beginners - Level 1,https://www.udemy.com/course/machine-learning-for-absolute-beginners-level-1/,machine learning,1,2026-02-26T08:54:21.889987,fallback_html_parse,35000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",machine-learning,0.6628982234498013,8.0,0.5384615384615384,machine learning for absolute beginners - level 1 machine learning machine-learning,0.4877193709484984,0.97,0.7222222222222222,0.0,0.9679585962103691,0.9495050040492907,0.9605771593459378,1.0,0.5980000000000001,0.8490055759976698,very_high,0.06,0.8047260841727935,0.9047260841727935,HIGH,STRONG,15,strong market demand; strong personalization fit; high ROI potential
Udemy,Python Programming: Beginner to Professional Complete Course,https://www.udemy.com/course/python-programming-complete-course/,python programming,2,2026-02-26T08:49:56.698267,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 30.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,0.9192930780559646,14.0,1.0,python programming beginner to professional complete course python programming python,0.264811192124001,1.0,0.16666666666666666,0.0,0.9734529570406136,0.9570579383272486,0.9668949495552677,1.0,0.5980000000000001,0.9835751824896712,very_high,0.06,0.8021778492912021,0.902177849291202,HIGH,STRONG,16,strong market demand; strong personalization fit; high ROI potential
Udemy,Machine Learning Practical: 6 Real-World Applications,https://www.udemy.com/course/machine-learning-practical/,machine learning,2,2026-02-26T08:55:12.118934,fallback_html_parse,35000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 38.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",machine-learning,0.6628982234498013,8.0,0.5384615384615384,machine learning practical 6 real-world applications machine learning machine-learning,0.4529644728546708,1.0,0.7222222222222222,0.0,0.9692031012895552,0.9495861235989401,0.9613563102133091,1.0,0.5980000000000001,0.8524949461317216,very_high,0.06,0.8019534269130976,0.9019534269130975,HIGH,STRONG,17,strong market demand; strong personalization fit; high ROI potential
Udemy,"Machine Learning, Data Science & AI Engineering with Python",https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,machine learning,1,2026-02-26T08:54:21.890381,fallback_html_parse,25000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,0.9192930780559646,14.0,1.0,machine learning data science ai engineering with python machine learning python,0.2780585523064699,0.97,0.16666666666666666,0.0,0.9731051711408496,0.9687252661565892,0.9713532091471454,1.0,0.5980000000000001,0.9806252250239725,very_high,0.06,0.8010717691217941,0.9010717691217942,HIGH,STRONG,18,strong market demand; strong personalization fit; high ROI potential
Udemy,Learn Python Programming - Beginner to Master,https://www.udemy.com/course/learn-python-with-abdul-bari/,python programming,1,2026-02-26T08:49:21.017623,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 30.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,0.9192930780559646,14.0,1.0,learn python programming - beginner to master python programming python,0.2634581277989491,1.0,0.16666666666666666,0.0,0.9733783815665583,0.9467593827216529,0.9627307820285962,1.0,0.5980000000000001,0.9835572496066197,very_high,0.06,0.8007922648192033,0.9007922648192033,HIGH,STRONG,19,strong market demand; strong personalization fit; high ROI potential
Udemy,Learn Python Programming Masterclass,https://www.udemy.com/course/python-the-complete-python-developer-course/,python programming,1,2026-02-26T08:49:21.017532,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 30.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,0.9192930780559646,14.0,1.0,learn python programming masterclass python programming python,0.26262766860689574,1.0,0.16666666666666666,0.0,0.9733323081532315,0.9478160667684159,0.9631258115993052,1.0,0.5980000000000001,0.9835572496066197,very_high,0.06,0.8006834074138671,0.9006834074138672,HIGH,STRONG,20,strong market demand; strong personalization fit; high ROI potential
Udemy,Complete 2026 Python Bootcamp: Learn Python from Scratch,https://www.udemy.com/course/codewithharry-python/,python programming,1,2026-02-26T08:49:21.017359,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 25.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,0.9192930780559646,14.0,1.0,complete 2026 python bootcamp learn python from scratch python programming python,0.25868970252500606,1.0,0.16666666666666666,0.0,0.9731107040234935,0.9535355295859962,0.9652806342484946,1.0,0.5980000000000001,0.9826156355279987,very_high,0.06,0.7999080566281748,0.8999080566281747,MEDIUM,STRONG,21,strong market demand; strong personalization fit; high ROI potential
Udemy,Master Python for Data Handling [2026],https://www.udemy.com/course/master-python-for-data-handling/,python programming,1,2026-02-26T08:49:21.018092,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 30.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,0.9192930780559646,14.0,1.0,master python for data handling 2026 python programming python,0.24345563261352696,1.0,0.16666666666666666,0.0,0.9722046618213749,0.958908373345803,0.9668861464311461,1.0,0.5980000000000001,0.9786419658751355,very_high,0.06,0.7951101328174658,0.8951101328174658,MEDIUM,STRONG,22,strong market demand; strong personalization fit; high ROI potential
Udemy,Python and Machine Learning for Complete Beginners,https://www.udemy.com/course/python-machine-learning-beginners/,machine learning,2,2026-02-26T08:55:12.118340,fallback_html_parse,25000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,0.9192930780559646,14.0,1.0,python and machine learning for complete beginners machine learning python,0.2663943204030296,0.97,0.16666666666666666,0.0,0.9724970626175375,0.957627609344148,0.9665492813081817,1.0,0.5980000000000001,0.9739853676052735,very_high,0.06,0.7946307790896485,0.8946307790896486,MEDIUM,STRONG,23,strong market demand; strong personalization fit; high ROI potential
Udemy,Complete Python Programming Masterclass Beginner to Advanced,https://www.udemy.com/course/complete-python-programming-masterclass-beginner-to-advanced/,python programming,1,2026-02-26T08:49:21.018303,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 30.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,0.9192930780559646,14.0,1.0,complete python programming masterclass beginner to advanced python programming python,0.2468168883026673,1.0,0.16666666666666666,0.0,0.9724112462890329,0.9473108904055978,0.9623711039356588,1.0,0.5980000000000001,0.9776592866196318,very_high,0.06,0.7944777483764527,0.8944777483764528,MEDIUM,STRONG,24,strong market demand; strong personalization fit; high ROI potential
Udemy,Google Cloud Machine Learning Engineer Certification Prep,https://www.udemy.com/course/google-cloud-machine-learning-engineer-certification-prep/,machine learning,2,2026-02-26T08:55:12.119342,fallback_html_parse,35000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 65.0, 'engagement_score': 0.0, 'provider_score': 15, 'price_value_score': 20}",machine-learning,0.6628982234498013,8.0,0.5384615384615384,google cloud machine learning engineer certification prep machine learning machine-learning,0.4171332283663426,1.0,0.7222222222222222,0.0,0.9697892365305063,0.9567401161256777,0.9645695883685749,1.0,0.5980000000000001,0.8446242895738482,very_high,0.06,0.7910442055345762,0.8910442055345762,MEDIUM,STRONG,25,strong market demand; strong personalization fit; high ROI potential
