feature,importance
support_growth,0.1363503203818585
margin,0.11335400891816298
margin_buffer,0.11286856864697065
content_growth,0.08654066884819227
risk_gap,0.07937465913232135
content_share,0.07382457713294888
profit,0.06200426005986723
marketing_growth,0.042962991449586804
expense_growth,0.038504215015030506
expenses,0.034038054694994206
profit_growth,0.026592335175698367
expense_uncertainty_pct,0.02616703824096433
marketing_share,0.021353706868893336
tools_growth,0.02116625867974844
profit_downside_gap,0.021113541742078582
support_share,0.017546382301460117
income,0.01711923306733158
salary_growth,0.012843165529867577
income_uncertainty_pct,0.010898239788612913
income_growth,0.009973040595700084
salary_share,0.009079126969856813
infrastructure_growth,0.00604939217468492
discretionary_share,0.0060288147247840665
tools_share,0.005484308290737021
infrastructure_share,0.004490971173926604
fixed_cost_share,0.004272120395721814
