month,forecast_origin,recommended_action,recommendation_title,focus_area,target_metric,model_probability,runner_up_action,confidence_level,impact_band,margin_before,margin_after,margin_uplift,profit_before,profit_after,profit_uplift,profit_low_before,profit_low_after,urgency_score,recommendation_reason,recommendation_rank
2026-12,forecast,OPTIMIZE_SALARY,Optimize salary and contractor load,Cost Control,salary_ratio,0.602,BOOST_MARKETING,MEDIUM,IMMEDIATE,20.9,24.44,3.54,8868.91,10215.34,1346.43,-10628.55,-9282.12,11.19,margin is below the 25% safety target; downside profit range turns negative; salary share is above the historical balance; rebalancing payroll protects margin in the weakest months,1
2026-11,forecast,OPTIMIZE_SALARY,Optimize salary and contractor load,Cost Control,salary_ratio,0.6497,BOOST_MARKETING,MEDIUM,IMMEDIATE,21.08,24.63,3.55,8702.17,10012.37,1310.2,-10243.74,-8933.53,10.75,margin is below the 25% safety target; downside profit range turns negative; salary share is above the historical balance; rebalancing payroll protects margin in the weakest months,2
2026-10,forecast,BOOST_MARKETING,Scale marketing on the strongest channels,Revenue Growth,income_growth,0.8268,OPTIMIZE_SALARY,HIGH,IMMEDIATE,23.0,27.48,4.48,9886.1,12819.51,2933.41,-9583.19,-6649.78,8.39,margin is below the 25% safety target; downside profit range turns negative; the model sees room to buy growth while staying profitable; projected profit changes by +2933 and margin by +4.48 pts,3
2026-09,forecast,BOOST_MARKETING,Scale marketing on the strongest channels,Revenue Growth,income_growth,0.9685,STABILIZE_SUPPORT,HIGH,STRONG,25.9,30.2,4.3,10755.51,13607.63,2852.12,-7668.4,-4816.28,5.11,downside profit range turns negative; the model sees room to buy growth while staying profitable; projected profit changes by +2852 and margin by +4.30 pts,4
2026-08,forecast,BOOST_MARKETING,Scale marketing on the strongest channels,Revenue Growth,income_growth,0.8529,STABILIZE_SUPPORT,HIGH,STRONG,27.01,31.3,4.29,11466.52,14421.2,2954.68,-7216.95,-4262.27,4.81,downside profit range turns negative; the model sees room to buy growth while staying profitable; projected profit changes by +2955 and margin by +4.29 pts,5
2026-07,forecast,STABILIZE_SUPPORT,Stabilize support operations with automation,Service Efficiency,support_ratio,0.9956,BOOST_MARKETING,HIGH,WATCH,44.22,44.77,0.55,18905.09,19178.9,273.81,2448.1,2721.91,0.0,support automation helps stop cost creep before it erodes profit; projected profit changes by +274 and margin by +0.55 pts,6
